agency_id,name,n_client,country_code
1,Volley Transfer,0,
2,ROGON Agency,0,DE
3,KSP Management,1,EE
4,Buildawave,5,IT
5,ECETD,0,NL
6,MEHMET BAŞYOLCU,3,TR
7,NEWAGEVOLLEYAGENCY,0,PL
8,Reigning Sports,3,
9,MPD Sports Marketing,0,GR
10,Leader volleyball,98,AE
11,sohrab kiumarsy,1,IR
12,ACADEMICA,0,
13,Yanakev and Co,1,BG
14,Apex8 Sports,0,NL
15,Brave Volley,49,PL
16,Caan Athletics,0,TR
17,AmirArsalan Agency,0,IR
18,Kaman Sport,28,PL
19,Up! Volley,2,
20,Top sport Egypt,0,EG
21,Aragones,22,SK
22,AS agency,0,GR
23,Penivo Menajerlik,0,TR
24,Alfa Globe,4,FR
25,MVP,85,PL
26,Gold Sport,0,IT
27,Pro Volley Agency,1,AR
28,VolleyBook GR,0,GR
29,Top Volley Polska,0,PL
30,OSM Scholarships,0,
31,Shahriyar,57,IR
32,SIM Gratton,0,CA
33,Rashed Alrashoud,0,KW
34,ZMS Sports,0,CA
35,Players On,0,BR
36,Bahrain agent,0,BH
37,Start Sport Agency,44,BR
38,ns-volleyagency,5,CY
39,Lauda Player Agency,0,TR
40,JLR VolleyballAgency,0,PT
41,Tomasik Agency,0,SK
42,ULTINITYSPORTS,0,GR
43,Tendarpartners,1,
44,TOPSTARAGENCY,244,TR
45,Management Solutions,0,BE
46,M.M. AthletesAbout,28,CY
47,Stayline Sports,0,ES
48,Dneprvolleytallents,0,UA
49,FVU,0,UA
50,TGS Sport Management,75,TR
51,DFZ,0,TR
52,Ozamba Sports,0,FR
53,Equity Agency,0,BR
54,Globe Volleyball,0,HU
55,Volleyman,0,PL
56,MIB Profisport,0,
57,BogaVolley,13,
58,ALBWASIL Sports,0,QA
59,ICON Volleyball,32,HU
60,SPORT TREND,0,SK
61,W.V.A,47,AR
62,Qalichi agency,14,IR
63,RVS/LU,11,LV
64,NEO CAREER,41,TR
65,Michalak Brothers,79,PL
66,Ballon Sports Agency,0,GB
67,Shining Stars,0,TR
68,Stark Sports Agency,0,PL
69,MFTP Sport Business,0,BR
70,Endisportma,32,ES
71,Sportsmission Ltd,23,GR
72,SmartVolley Agency,0,
73,ACES,21,FR
74,DV Agency,39,AR
75,Rise & Shine Sports,26,FR
76,Image4sport Agency,0,RO
77,Volleyball Talent,0,AR
78,Tiger Agency,0,BH
79,SPHERA agency,76,
80,Agência Classe A,47,BR
81,FSA,33,
82,UNITED SPORTS Corp.,1,KR
83,AS Volleyball Agency,5,GR
84,FUTURE AGENCY,0,GR
85,AVANTE SPORT INDONES,0,ID
86,Bring It Promotions,0,
87,ESM SPORTS AGENCY,147,TR
88,EliteVolley.com,18,HR
89,Reciever Agency,37,BR
90,WWVBA,0,GR
91,Sportsolutions,0,IT
92,CASAVERA-SPORTS,0,FI
93,Joost Kooistra,0,NL
94,Sideout Sport Agency,0,ES
95,YnK Sports Agency,48,CH
96,PlayerIN,0,TN
97,VbAgency,70,GR
98,Volleyworld Agency,0,CH
99,Volleyball-Agency,45,GR
100,Best Sport Connect,0,AE
101,Silver Fox,0,IR
102,Volleyball-Forever,0,RS
103,Euro Volley Agency,0,GR
104,sword sports egency,0,UG
105,Core Sports Manageme,0,PT
106,DeGie Agency,91,PL
107,Deleted,0,
108,Bapris Sport,0,
109,arpa voleyball agent,0,TR
110,SPG Sports,0,FR
111,Ius Volleyball,27,AR
112,Athletes Abroad,32,SE
113,I Believe Sports,1,
114,Volleystars Agency,23,TR
115,playsportusa,0,PL
116,Volleylink,0,DE
117,JITIWAT YAUNGKET,0,TH
118,All Stars Gate,0,TN
119,LadySaffronReDragon,0,TR
120,VOLLEY TREND AGENCY,51,RS
121,LM Sports,0,PT
122,Romanuttis Agency,0,AR
123,Team GM,173,BR
124,DM7 Sports,41,BR
125,SDM ATHLETES AGENCY,14,BR
126,Volleyball Talent Hub,24,PK
127,XL,0,TR
128,Sphera CB Press,0,AR
129,Volleyball.bh.agent,0,BH
130,Five Company,6,BR
131,SS-SPORT,0,IR
